Geo_Type_Name,Start_Date,Data_Value
UHF34,12/01/2010,25.3
UHF34,12/01/2008,26.93
UHF34,01/01/2015,19.09
UHF34,01/01/2015,19.76
UHF34,12/01/2008,22.83
UHF34,01/01/2020,16.19
UHF34,12/01/2008,38.16
UHF34,12/01/2010,34.96
UHF42,12/01/2010,30.1
UHF42,12/01/2012,20.23
UHF42,12/01/2012,23.73
UHF42,12/01/2014,26
UHF42,01/01/2021,18.04
UHF42,12/01/2010,28.44
UHF42,06/01/2009,18.95
UHF42,06/01/2009,15.22
UHF42,12/01/2010,25.7
UHF42,12/01/2012,16.36
UHF42,01/01/2021,11.41
CD,01/01/2017,21.25
CD,12/01/2014,30.4
CD,01/01/2021,21.61
CD,12/01/2010,36.79
CD,06/01/2009,31.63
CD,12/01/2012,29.27
CD,12/01/2014,26.28
CD,01/01/2021,20.21
UHF34,12/01/2009,28.86
UHF34,06/01/2017,13.39
UHF34,06/01/2018,11.97
UHF34,12/01/2009,23.87
UHF34,06/01/2017,14.14
UHF34,12/01/2018,26.69
UHF34,06/01/2014,13.55
UHF34,12/01/2018,18.32
UHF34,06/01/2014,15.4
UHF34,12/01/2018,19.11
UHF34,06/01/2014,16.64
UHF34,12/01/2018,24.36
UHF34,12/01/2010,25.56
UHF34,01/01/2020,18.08
UHF42,06/01/2009,23
UHF42,12/01/2012,21.54
UHF42,01/01/2021,18.52
UHF42,06/01/2009,21.39
UHF42,12/01/2014,25.7
UHF42,12/01/2010,26.24
UHF42,06/01/2009,18.59
CD,12/01/2010,30.92
CD,12/01/2012,22.32
CD,01/01/2017,23.65
UHF34,12/01/2010,28.23
UHF34,06/01/2014,19.54
UHF34,01/01/2015,23.15
UHF34,12/01/2018,24.69
UHF34,12/01/2016,26.27
UHF34,06/01/2018,16.37
UHF34,06/01/2018,11.69
UHF34,06/01/2017,13.02
UHF34,12/01/2013,18.97
UHF34,06/01/2017,14.37
UHF34,06/01/2018,13.05
UHF42,12/01/2009,26.48
UHF42,12/01/2011,25.17
Borough,12/01/2013,19.8
UHF34,01/01/2015,18.62
UHF34,12/01/2018,20.53
UHF34,01/01/2020,14.81
UHF34,12/01/2008,27.13
UHF34,12/01/2010,25.75
UHF34,01/01/2015,21.27
UHF34,06/01/2014,17
UHF34,01/01/2015,16
UHF34,12/01/2018,18.62
UHF34,01/01/2020,13.11
UHF42,01/01/2017,21.19
UHF42,01/01/2021,20.55
UHF42,12/01/2010,25.48
UHF42,12/01/2010,27.72
UHF42,12/01/2014,22.69
UHF42,01/01/2017,16.98
CD,12/01/2014,29.3
CD,01/01/2021,20.37
CD,12/01/2014,26.84
CD,01/01/2017,20.14
CD,12/01/2010,29.44
CD,06/01/2009,20.38
CD,12/01/2012,19.48
CD,12/01/2014,25.17
CD,01/01/2021,16.42
CD,01/01/2017,19.03
CD,01/01/2021,16.92
UHF34,12/01/2016,23.78
UHF34,06/01/2018,11.47
UHF34,06/01/2020,9.8
UHF34,12/01/2009,28.63
UHF34,12/01/2013,22.2
UHF34,06/01/2018,15.84
UHF34,12/01/2016,25.91
UHF34,12/01/2013,19.45
UHF34,06/01/2020,11.03
UHF42,12/01/2009,28.09
UHF42,12/01/2011,23.5
UHF42,06/01/2020,16.58
UHF42,06/01/2017,22.95
UHF42,12/01/2016,30.24
UHF42,06/01/2017,13.77
UHF42,12/01/2016,25.04
UHF42,12/01/2009,26.54
UHF42,06/01/2018,11.47
UHF42,12/01/2011,19.46
UHF42,12/01/2013,17.63
UHF42,12/01/2011,15.89
UHF42,12/01/2016,24.02
UHF34,12/01/2011,27.76
UHF34,12/01/2009,30.23
UHF34,12/01/2010,32.21
UHF34,06/01/2009,23.2
UHF34,12/01/2012,22.28
UHF34,12/01/2010,30.26
UHF34,12/01/2014,24.99
UHF34,01/01/2021,16.12
UHF34,06/01/2009,21.15
UHF34,12/01/2014,23.33
UHF34,12/01/2012,18.58
UHF34,01/01/2017,18.72
UHF34,01/01/2021,15.66
UHF34,12/01/2012,32.1
UHF34,06/01/2009,35.65
UHF34,01/01/2021,21.83
UHF34,06/01/2009,35.28
CD,01/01/2015,20.85
Borough,06/01/2018,13.62
Borough,06/01/2020,13.16
Borough,12/01/2009,24.39
Borough,06/01/2017,14.97
Borough,12/01/2011,23.5
Borough,06/01/2020,10.82
UHF42,06/01/2017,13.75
UHF42,12/01/2013,17
UHF42,06/01/2017,10.26
UHF42,12/01/2009,26.12
UHF42,12/01/2016,24.86
UHF42,12/01/2016,24.81
UHF42,06/01/2018,12.77
UHF34,12/01/2013,23.86
UHF34,06/01/2017,18.89
UHF34,12/01/2016,28.51
UHF34,01/01/2021,20.55
UHF34,01/01/2017,21.12
UHF34,01/01/2021,14.77
UHF34,06/01/2009,17.94
UHF34,12/01/2010,25.99
UHF34,12/01/2014,23.37
UHF34,12/01/2014,26.21
UHF34,01/01/2017,20.56
UHF34,01/01/2021,18.56
UHF34,12/01/2010,30.54
CD,12/01/2008,27.71
CD,12/01/2010,25.3
CD,12/01/2008,31.8
CD,06/01/2014,21.27
CD,01/01/2020,19.36
UHF42,06/01/2014,16.43
UHF42,12/01/2018,24.22
Borough,12/01/2008,24.11
UHF34,12/01/2010,23.86
UHF34,01/01/2020,13.02
UHF42,12/01/2013,19.75
UHF42,06/01/2017,13.39
CD,12/01/2010,33.62
CD,06/01/2009,28.43
CD,12/01/2014,27.42
UHF34,06/01/2018,14.4
UHF34,06/01/2017,14.14
UHF34,06/01/2017,13.08
UHF34,06/01/2018,11.98
UHF42,06/01/2018,12.84
UHF42,06/01/2020,12.14
UHF42,12/01/2011,26.68
UHF42,06/01/2018,15.84
UHF42,06/01/2014,14.16
UHF34,12/01/2014,25.37
UHF34,01/01/2017,18.87
UHF34,01/01/2021,18.03
UHF34,12/01/2014,22.67
CD,01/01/2020,19.63
CD,12/01/2008,14.55
CD,12/01/2010,14.15
CD,12/01/2018,13.88
UHF42,01/01/2020,16.19
UHF42,12/01/2008,27.13
UHF42,12/01/2008,31.95
UHF42,12/01/2010,29.3
UHF42,06/01/2014,20.87
UHF42,12/01/2018,25.25
UHF42,01/01/2020,19.62
Borough,12/01/2010,16.17
CD,12/01/2011,28.89
CD,12/01/2009,30.21
UHF34,12/01/2010,23.32
UHF34,12/01/2010,19.21
UHF34,12/01/2008,20.22
UHF34,01/01/2015,16.52
UHF34,12/01/2010,25.24
UHF34,12/01/2008,26.29
UHF34,01/01/2020,18.94
UHF34,01/01/2020,18.59
UHF34,12/01/2018,23.64
CD,12/01/2014,23.05
UHF34,12/01/2009,28.09
UHF34,12/01/2011,23.5
UHF34,12/01/2011,20.3
UHF34,12/01/2011,22.78
UHF34,12/01/2013,18.82
UHF34,06/01/2018,12.77
UHF34,12/01/2016,24.81
UHF34,06/01/2020,9.35
UHF34,12/01/2011,26.18
